Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,label,counter_speech
2326,3,0,3,0,1,934 8616 got missed call yo bitch,0.0,934 8616 got missed call yo bitch
16283,3,0,3,0,1,RT KINGTUNCHI Fucking bad bitch gone need money lil homie,0.0,RT KINGTUNCHI Fucking bad bitch gone need money lil homie
19362,3,0,1,2,2,RT eanahS 1inkkofrosess lol credit aint near good know right man job ho nice though,0.0,RT eanahS 1inkkofrosess lol credit aint near good know right man job ho nice though
16780,3,0,3,0,1,RT MaxinBetha Wipe cum faggot RT 80sbaby4life Contact lens wildin cant see shit,0.0,RT MaxinBetha Wipe cum faggot RT 80sbaby4life Contact lens wildin cant see shit
13654,3,1,2,0,1,Niggas cheat bitch dont expect pay back WHATSOEVER Yall naive bitches,0.0,Niggas cheat bitch dont expect pay back WHATSOEVER Yall naive bitches
13233,3,0,3,0,1,Mother asked wanted Christmas year Replied go crazy sister bitch,0.0,Mother asked wanted Christmas year Replied go crazy sister bitch
21919,3,0,3,0,1,Thats real dedication 171arigold88 bitch got diarrhea still shitting bathroom187,0.0,Thats real dedication 171arigold88 bitch got diarrhea still shitting bathroom187
12557,6,0,6,0,1,Kiss IMO conductor 430 courtesy bitch,0.0,Kiss IMO conductor 430 courtesy bitch
13404,6,0,6,0,1,momma keep talking like bitch gtf Im Twitter,0.0,momma keep talking like bitch gtf Im Twitter
19839,3,0,3,0,1,RT karlosbudah kno bitch thot wanna meet momma,0.0,RT karlosbudah kno bitch thot wanna meet momma
24648,6,0,6,0,1,like bitch pic flirting nowadays,0.0,like bitch pic flirting nowadays
4399,3,2,0,1,0,NienNunb search Gay redneck episode 1 play,0.0,NienNunb search Gay redneck episode 1 play
9905,3,0,3,0,1,Halloweens bitches still playing roles,0.0,Halloweens bitches still playing roles
24340,3,1,2,0,1,fucking queer,0.0,fucking queer
23334,3,1,2,0,1,bitches quick nigga baby suprised taking care,0.0,bitches quick nigga baby suprised taking care
11189,3,0,3,0,1,stopped snapping women calling bitches,0.0,stopped snapping women calling bitches
3886,3,2,1,0,0,KeebitHalal LogansWarning gotta love islamofascist cow tries make retort age typical muzzie idiocy,0.0,KeebitHalal LogansWarning gotta love islamofascist cow tries make retort age typical muzzie idiocy
11757,3,0,3,0,1,Idgaf flat chested hoes feelings either grown ass man nigga,0.0,Idgaf flat chested hoes feelings either grown ass man nigga
21444,6,1,5,0,1,yall give farwells Lulu yet shit Kris Ok bitches ok,0.0,yall give farwells Lulu yet shit Kris Ok bitches ok
4934,3,0,0,3,2,StunningStina tortillas trash though,0.0,StunningStina tortillas trash though
18899,6,0,6,0,1,RT sheswatsPOPPIN js met lil bitch wit long name mufucka letters den Tennessee go gorilla ina pussy RIP128527,0.0,RT sheswatsPOPPIN js met lil bitch wit long name mufucka letters den Tennessee go gorilla ina pussy RIP128527
24493,6,0,6,0,1,need one around world twitter bitches cause local facebook hoes aint cuttin lol,0.0,need one around world twitter bitches cause local facebook hoes aint cuttin lol
16158,3,0,0,3,2,RT JeffDuncan JSU coach Omar Johnson u ball U throw hit catch Doesnt matter Yankees 8230,0.0,RT JeffDuncan JSU coach Omar Johnson u ball U throw hit catch Doesnt matter Yankees 8230
24503,9,1,8,0,1,seen nigga dressed impress hop da bus n bitch wit phatty get stop Say somethinGOD THROWIN U DA LOB,0.0,seen nigga dressed impress hop da bus n bitch wit phatty get stop Say somethinGOD THROWIN U DA LOB
2277,3,0,3,0,1,2 3 hoes everything 128527128520128526,0.0,2 3 hoes everything 128527128520128526
11793,3,0,3,0,1,hair would seriously go perm Genetics stone cold bitch,0.0,hair would seriously go perm Genetics stone cold bitch
12082,4,0,3,1,1,Ima start friend zoning hoes 128514128514128514,0.0,Ima start friend zoning hoes 128514128514128514
19049,3,0,3,0,1,RT bdha shit heel,0.0,RT bdha shit heel
22465,3,0,3,0,1,bitch pregnant 128064128514128514,0.0,bitch pregnant 128064128514128514
19277,3,0,3,0,1,RT davegetnmoney dont want skinny bitches get WANT BIG BOOTY BITCHES,0.0,RT davegetnmoney dont want skinny bitches get WANT BIG BOOTY BITCHES
18390,3,0,3,0,1,RT VibeLord opinion highly irrelevant bitch,0.0,RT VibeLord opinion highly irrelevant bitch
14724,3,0,3,0,1,RT BigSean Suck dick bitch RT MaizeNBlue23 bigsean terrible hip hop dead,0.0,RT BigSean Suck dick bitch RT MaizeNBlue23 bigsean terrible hip hop dead
20343,3,0,3,0,1,RT rebelliousmidy Ugly bitches definitely disguste 128534 ewww yuck,0.0,RT rebelliousmidy Ugly bitches definitely disguste 128534 ewww yuck
22526,3,0,2,1,1,hoe taken world smh,0.0,hoe taken world smh
